mkt,ric,ric_or_isin
asx,AUP.AX,AUP
asx,AUQ.AX,AUQ
asx,AUR.AX,AUR
asx,AUST.AX,AUST
asx,AUZ.AX,AUZ
asx,AVA.AX,AVA
asx,AVB.AX,AVB
asx,AVC.AX,AVC
asx,AVD.AX,AVD
asx,AVG.AX,AVG
asx,AVH.AX,AVH
asx,AVJ.AX,AVJ
asx,AVL.AX,AVL
asx,AVN.AX,AVN
asx,AVQ.AX,AVQ
asx,AVW.AX,AVW
asx,AVZ.AX,AVZ
asx,AWC.AX,AWC
asx,AWE.AX,AWE
asx,AWN.AX,AWN
asx,AWV.AX,AWV
asx,AWY.AX,AWY
asx,AX1.AX,AX1
asx,AX8.AX,AX8
asx,AXE.AX,AXE
asx,AXI.AX,AXI
asx,AXL.AX,AXL
asx,AXP.AX,AXP
asx,AXT.AX,AXT
asx,AYF.AX,AYF
asx,AYI.AX,AYI
asx,AYJ.AX,AYJ
asx,AYK.AX,AYK
asx,AYM.AX,AYM
asx,AYR.AX,AYR
asx,AYS.AX,AYS
asx,AYZ.AX,AYZ
asx,AZI.AX,AZI
asx,AZJ.AX,AZJ
asx,AZM.AX,AZM
asx,AZS.AX,AZS
asx,AZV.AX,AZV
asx,AZY.AX,AZY
asx,B2Y.AX,B2Y
asx,BAF.AX,BAF
asx,BAH.AX,BAH
asx,BAL.AX,BAL
asx,BAP.AX,BAP
asx,BAR.AX,BAR
asx,BAS.AX,BAS
asx,BAT.AX,BAT
asx,BAU.AX,BAU
asx,BAUE.AX,BAUE
asx,BBG.AX,BBG
asx,BBL.AX,BBL
asx,BBN.AX,BBN
asx,BBOZ.AX,BBOZ
asx,BBUS.AX,BBUS
asx,BBX.AX,BBX
asx,BC8.AX,BC8
asx,BCB.AX,BCB
asx,BCI.AX,BCI
asx,BCK.AX,BCK
asx,BCN.AX,BCN
asx,BCT.AX,BCT
asx,BD1.AX,BD1
asx,BDA.AX,BDA
asx,BDI.AX,BDI
asx,BDR.AX,BDR
asx,BEAR.AX,BEAR
asx,BEE.AX,BEE
asx,BEL.AX,BEL
asx,BEM.AX,BEM
asx,BEN.AX,BEN
asx,BFC.AX,BFC
asx,BFG.AX,BFG
asx,BFGN.AX,BFGN
asx,BGA.AX,BGA
asx,BGH.AX,BGH
asx,BGP.AX,BGP
asx,BGS.AX,BGS
asx,BGT.AX,BGT
asx,BHD.AX,BHD
asx,BHL.AX,BHL
asx,BHP.AX,BHP
asx,BID.AX,BID
asx,BIG.AX,BIG
asx,BILL.AX,BILL
asx,BIN.AX,BIN
asx,BIQ.AX,BIQ
asx,BIS.AX,BIS
asx,BIT.AX,BIT
asx,BKI.AX,BKI
asx,BKL.AX,BKL
asx,BKP.AX,BKP
asx,BKT.AX,BKT
asx,BKW.AX,BKW
asx,BKY.AX,BKY
asx,BLA.AX,BLA
asx,BLD.AX,BLD
asx,BLG.AX,BLG
asx,BLK.AX,BLK
asx,BLT.AX,BLT
asx,BLX.AX,BLX
asx,BLY.AX,BLY
asx,BLZ.AX,BLZ
asx,BMG.AX,BMG
asx,BMH.AX,BMH
asx,BMN.AX,BMN
asx,BMP.AX,BMP
asx,BMT.AX,BMT
asx,BMZ.AX,BMZ
asx,BNKS.AX,BNKS
asx,BNL.AX,BNL
asx,BNO.AX,BNO
asx,BNR.AX,BNR
asx,BOA.AX,BOA
asx,BOC.AX,BOC
asx,BOE.AX,BOE
asx,BOL.AX,BOL
asx,BOND.AX,BOND
asx,BOQ.AX,BOQ
asx,BOT.AX,BOT
asx,BPF.AX,BPF
asx,BPH.AX,BPH
asx,BPL.AX,BPL
asx,BPP.AX,BPP
asx,BPS.AX,BPS
asx,BPT.AX,BPT
asx,BRB.AX,BRB
asx,BRC.AX,BRC
asx,BRG.AX,BRG
asx,BRI.AX,BRI
asx,BRK.AX,BRK
asx,BRL.AX,BRL
asx,BRN.AX,BRN
asx,BRU.AX,BRU
asx,BSA.AX,BSA
asx,BSE.AX,BSE
asx,BSL.AX,BSL
asx,BSM.AX,BSM
asx,BSP.AX,BSP
asx,BSR.AX,BSR
asx,BST.AX,BST
asx,BSX.AX,BSX
asx,BTC.AX,BTC
asx,BTH.AX,BTH
asx,BTI.AX,BTI
asx,BTT.AX,BTT
asx,BUB.AX,BUB
asx,BUD.AX,BUD
asx,BUG.AX,BUG
asx,BUL.AX,BUL
asx,BUX.AX,BUX
asx,BUY.AX,BUY
asx,BVS.AX,BVS
asx,BWF.AX,BWF
asx,BWP.AX,BWP
asx,BWR.AX,BWR
asx,BWX.AX,BWX
asx,BXB.AX,BXB
asx,BXN.AX,BXN
asx,BYE.AX,BYE
asx,BYH.AX,BYH
asx,BYI.AX,BYI
asx,C6C.AX,C6C
asx,CA8.AX,CA8
asx,CAA.AX,CAA
asx,CAB.AX,CAB
asx,CAD.AX,CAD
asx,CAE.AX,CAE
asx,CAF.AX,CAF
asx,CAG.AX,CAG
asx,CAI.AX,CAI
asx,CAJ.AX,CAJ
asx,CAM.AX,CAM
asx,CAN.AX,CAN
asx,CAP.AX,CAP
asx,CAQ.AX,CAQ
asx,CAR.AX,CAR
asx,CAS.AX,CAS
asx,CAT.AX,CAT
asx,CAV.AX,CAV
asx,CAY.AX,CAY
asx,CAZ.AX,CAZ
asx,CBA.AX,CBA
asx,CBC.AX,CBC
asx,CBL.AX,CBL
asx,CCA.AX,CCA
asx,CCE.AX,CCE
asx,CCG.AX,CCG
asx,CCJ.AX,CCJ
asx,CCL.AX,CCL
asx,CCP.AX,CCP
asx,CCV.AX,CCV
asx,CCVN.AX,CCVN
asx,CCZ.AX,CCZ
asx,CD1.AX,CD1
asx,CD2.AX,CD2
asx,CD3.AX,CD3
asx,CDA.AX,CDA
asx,CDD.AX,CDD
asx,CDH.AX,CDH
asx,CDM.AX,CDM
asx,CDP.AX,CDP
asx,CDT.AX,CDT
asx,CDU.AX,CDU
asx,CDV.AX,CDV
asx,CDX.AX,CDX
asx,CDY.AX,CDY
asx,CE1.AX,CE1
asx,CEL.AX,CEL
asx,CEN.AX,CEN
asx,CETF.AX,CETF
asx,CFE.AX,CFE
asx,CFO.AX,CFO
asx,CG1.AX,CG1
asx,CGA.AX,CGA
asx,CGC.AX,CGC
asx,CGF.AX,CGF
asx,CGL.AX,CGL
asx,CGM.AX,CGM
asx,CGN.AX,CGN
asx,CGO.AX,CGO
asx,CGR.AX,CGR
asx,CGS.AX,CGS
asx,CHC.AX,CHC
asx,CHK.AX,CHK
asx,CHN.AX,CHN
asx,CHP.AX,CHP
asx,CHR.AX,CHR
asx,CHZ.AX,CHZ
asx,CI1.AX,CI1
asx,CIA.AX,CIA
asx,CIE.AX,CIE
asx,CII.AX,CII
asx,CIM.AX,CIM
asx,CIN.AX,CIN
asx,CIO.AX,CIO
asx,CIP.AX,CIP
asx,CIW.AX,CIW
asx,CKA.AX,CKA
asx,CKF.AX,CKF
asx,CL1.AX,CL1
asx,CL8.AX,CL8
asx,CLA.AX,CLA
asx,CLF.AX,CLF
asx,CLH.AX,CLH
asx,CLI.AX,CLI
asx,CLL.AX,CLL
asx,CLQ.AX,CLQ
asx,CLT.AX,CLT
asx,CLV.AX,CLV
asx,CLW.AX,CLW
asx,CLX.AX,CLX
asx,CLY.AX,CLY
asx,CLZ.AX,CLZ
asx,CM8.AX,CM8
asx,CMA.AX,CMA
asx,CMC.AX,CMC
asx,CMD.AX,CMD
asx,CMI.AX,CMI
asx,CMM.AX,CMM
asx,CMP.AX,CMP
asx,CMW.AX,CMW
asx,CND.AX,CND
asx,CNI.AX,CNI
asx,CNJ.AX,CNJ
asx,CNL.AX,CNL
asx,CNU.AX,CNU
asx,CNW.AX,CNW
asx,CNX.AX,CNX
asx,COB.AX,COB
asx,COE.AX,COE
asx,COG.AX,COG
asx,COH.AX,COH
asx,COI.AX,COI
asx,COM.AX,COM
asx,COO.AX,COO
asx,CORE.AX,CORE
asx,COY.AX,COY
asx,CP1.AX,CP1
asx,CPH.AX,CPH
asx,CPU.AX,CPU
asx,CPV.AX,CPV
asx,CQG.AX,CQG
asx,CQR.AX,CQR
asx,CRB.AX,CRB
asx,CRD.AX,CRD
asx,CRED.AX,CRED
asx,CRL.AX,CRL
asx,CRM.AX,CRM
asx,CRO.AX,CRO
asx,CRR.AX,CRR
asx,CSE.AX,CSE
asx,CSK.AX,CSK
asx,CSL.AX,CSL
asx,CSR.AX,CSR
asx,CSS.AX,CSS
asx,CSV.AX,CSV
asx,CT1.AX,CT1
asx,CTD.AX,CTD
asx,CTE.AX,CTE
asx,CTL.AX,CTL
asx,CTM.AX,CTM
asx,CTO.AX,CTO
asx,CTP.AX,CTP
asx,CTX.AX,CTX
asx,CUE.AX,CUE
asx,CUL.AX,CUL
asx,CUP.AX,CUP
asx,CUV.AX,CUV
asx,CUX.AX,CUX
asx,CV1.AX,CV1
asx,CVC.AX,CVC
asx,CVF.AX,CVF
asx,CVN.AX,CVN
asx,CVS.AX,CVS
asx,CVT.AX,CVT
asx,CVV.AX,CVV
asx,CVW.AX,CVW
asx,CWL.AX,CWL
asx,CWN.AX,CWN
asx,CWP.AX,CWP
asx,CWX.AX,CWX
asx,CWY.AX,CWY
asx,CXM.AX,CXM
asx,CXO.AX,CXO
asx,CXU.AX,CXU
asx,CXX.AX,CXX
asx,CXZ.AX,CXZ
asx,CY5.AX,CY5
asx,CYA.AX,CYA
asx,CYB.AX,CYB
asx,CYC.AX,CYC
asx,CYG.AX,CYG
asx,CYL.AX,CYL
asx,CYP.AX,CYP
asx,CYQ.AX,CYQ
asx,CZI.AX,CZI
asx,CZL.AX,CZL
asx,CZN.AX,CZN
asx,CZR.AX,CZR
asx,CZZ.AX,CZZ
asx,D13.AX,D13
asx,D2O.AX,D2O
asx,D2ON.AX,D2ON
asx,DAF.AX,DAF
asx,DAU.AX,DAU
asx,DAV.AX,DAV
asx,DBF.AX,DBF
asx,DCC.AX,DCC
asx,DCG.AX,DCG
asx,DCL.AX,DCL
asx,DCN.AX,DCN
asx,DDD.AX,DDD
asx,DDR.AX,DDR
asx,DDT.AX,DDT
asx,DEG.AX,DEG
asx,DEM.AX,DEM
asx,DEV.AX,DEV
asx,DFM.AX,DFM
asx,DGH.AX,DGH
asx,DGO.AX,DGO
asx,DGR.AX,DGR
asx,DHG.AX,DHG
asx,DHR.AX,DHR
asx,DIG.AX,DIG
asx,DIV.AX,DIV
asx,DJRE.AX,DJRE
asx,DJW.AX,DJW
asx,DKM.AX,DKM
asx,DLC.AX,DLC
asx,DLX.AX,DLX
asx,DM1.AX,DM1
asx,DMC.AX,DMC
asx,DME.AX,DME
asx,DMG.AX,DMG
asx,DMI.AX,DMI
asx,DMKT.AX,DMKT
asx,DMP.AX,DMP
asx,DN8.AX,DN8
asx,DNA.AX,DNA
asx,DNK.AX,DNK
asx,DOR.AX,DOR
asx,DOW.AX,DOW
asx,DRA.AX,DRA
asx,DRG.AX,DRG
asx,DRK.AX,DRK
asx,DRM.AX,DRM
asx,DRO.AX,DRO
asx,DRUG.AX,DRUG
asx,DRX.AX,DRX
asx,DSE.AX,DSE
asx,DSX.AX,DSX
asx,DTI.AX,DTI
asx,DTL.AX,DTL
asx,DTM.AX,DTM
asx,DTR.AX,DTR
asx,DTS.AX,DTS
asx,DTZ.AX,DTZ
asx,DUB.AX,DUB
asx,DUI.AX,DUI
asx,DVL.AX,DVL
asx,DVN.AX,DVN
asx,DW8.AX,DW8
asx,DWS.AX,DWS
asx,DXB.AX,DXB
asx,DXN.AX,DXN
asx,DXS.AX,DXS
asx,DYL.AX,DYL
asx,E25.AX,E25
asx,E2E.AX,E2E
asx,E2M.AX,E2M
asx,EAF.AX,EAF
asx,EAI.AX,EAI
asx,EAR.AX,EAR
asx,EAS.AX,EAS
asx,EAX.AX,EAX
asx,EBG.AX,EBG
asx,EBO.AX,EBO
asx,ECG.AX,ECG
asx,ECX.AX,ECX
asx,ED1.AX,ED1
asx,EDC.AX,EDC
asx,EDE.AX,EDE
asx,EEG.AX,EEG
asx,EER.AX,EER
asx,EEU.AX,EEU
asx,EFE.AX,EFE
asx,EGA.AX,EGA
asx,EGAN.AX,EGAN
asx,EGD.AX,EGD
asx,EGG.AX,EGG
asx,EGH.AX,EGH
asx,EGI.AX,EGI
asx,EGL.AX,EGL
asx,EGN.AX,EGN
asx,EGS.AX,EGS
asx,EGY.AX,EGY
asx,EHE.AX,EHE
asx,EHH.AX,EHH
asx,EHL.AX,EHL
asx,EHX.AX,EHX
asx,EIGA.AX,EIGA
asx,EINC.AX,EINC
asx,ELD.AX,ELD
asx,ELK.AX,ELK
asx,ELO.AX,ELO
asx,ELS.AX,ELS
asx,ELT.AX,ELT
asx,ELX.AX,ELX
asx,EM1.AX,EM1
asx,EM2.AX,EM2
asx,EMB.AX,EMB
asx,EME.AX,EME
asx,EMF.AX,EMF
asx,EMG.AX,EMG
asx,EMH.AX,EMH
asx,EMKT.AX,EMKT
asx,EML.AX,EML
asx,EMP.AX,EMP
asx,EMR.AX,EMR
asx,EMU.AX,EMU
asx,EN1.AX,EN1
asx,ENA.AX,ENA
asx,ENB.AX,ENB
asx,ENC.AX,ENC
asx,ENN.AX,ENN
asx,ENR.AX,ENR
asx,ENT.AX,ENT
asx,ENX.AX,ENX
asx,EOL.AX,EOL
asx,EOR.AX,EOR
asx,EOS.AX,EOS
asx,EPD.AX,EPD
asx,EPM.AX,EPM
asx,EPW.AX,EPW
asx,EQE.AX,EQE
asx,EQT.AX,EQT
asx,EQX.AX,EQX
asx,ERA.AX,ERA
asx,ERF.AX,ERF
asx,ERL.AX,ERL
asx,ERM.AX,ERM
asx,ESE.AX,ESE
asx,ESGI.AX,ESGI
asx,ESH.AX,ESH
asx,ESI.AX,ESI
asx,ESK.AX,ESK
asx,ESR.AX,ESR
asx,ESTX.AX,ESTX
asx,ESV.AX,ESV
asx,ETE.AX,ETE
asx,ETF.AX,ETF
asx,ETHI.AX,ETHI
asx,EUC.AX,EUC
asx,EUR.AX,EUR
asx,EUZ.AX,EUZ
asx,EVE.AX,EVE
asx,EVN.AX,EVN
asx,EVO.AX,EVO
asx,EVS.AX,EVS
asx,EVT.AX,EVT
asx,EVZ.AX,EVZ
asx,EWC.AX,EWC
asx,EX20.AX,EX20
asx,EXG.AX,EXG
asx,EXL.AX,EXL
asx,EXO.AX,EXO
asx,EXP.AX,EXP
asx,EXR.AX,EXR
asx,EXU.AX,EXU
asx,EZL.AX,EZL
asx,FAIR.AX,FAIR
asx,FAR.AX,FAR
asx,FAU.AX,FAU
asx,FBR.AX,FBR
asx,FBU.AX,FBU
asx,FCC.AX,FCC
asx,FCR.AX,FCR
asx,FCT.AX,FCT
asx,FDIV.AX,FDIV
asx,FDM.AX,FDM
asx,FDV.AX,FDV
asx,FDX.AX,FDX
asx,FE8.AX,FE8
asx,FEI.AX,FEI
asx,FEL.AX,FEL
asx,FET.AX,FET
asx,FFC.AX,FFC
asx,FFG.AX,FFG
asx,FFI.AX,FFI
asx,FFT.AX,FFT
asx,FGF.AX,FGF
asx,FGG.AX,FGG
asx,FGO.AX,FGO
asx,FGR.AX,FGR
asx,FGX.AX,FGX
asx,FHS.AX,FHS
asx,FID.AX,FID
asx,FIG.AX,FIG
asx,FIN.AX,FIN
asx,FLC.AX,FLC
asx,FLK.AX,FLK
asx,FLN.AX,FLN
asx,FLOT.AX,FLOT
asx,FLT.AX,FLT
asx,FMG.AX,FMG
asx,FML.AX,FML
asx,FMS.AX,FMS
asx,FND.AX,FND
asx,FNP.AX,FNP
asx,FNT.AX,FNT
asx,FOD.AX,FOD
asx,FOOD.AX,FOOD
asx,FOR.AX,FOR
asx,FPC.AX,FPC
asx,FPH.AX,FPH
asx,FPL.AX,FPL
asx,FPP.AX,FPP
asx,FRC.AX,FRC
asx,FRI.AX,FRI
asx,FRM.AX,FRM
asx,FRN.AX,FRN
asx,FRX.AX,FRX
asx,FSA.AX,FSA
asx,FSF.AX,FSF
asx,FSG.AX,FSG
asx,FSI.AX,FSI
asx,FTC.AX,FTC
asx,FTT.AX,FTT
asx,FTZ.AX,FTZ
asx,FUEL.AX,FUEL
asx,FUN.AX,FUN
asx,FWD.AX,FWD
asx,FXJ.AX,FXJ
asx,FXL.AX,FXL
asx,FYA.AX,FYA
asx,FYI.AX,FYI
asx,FZO.AX,FZO
asx,FZR.AX,FZR
asx,G1A.AX,G1A
asx,G88.AX,G88
asx,GAL.AX,GAL
asx,GAP.AX,GAP
asx,GAS.AX,GAS
asx,GBE.AX,GBE
asx,GBG.AX,GBG
asx,GBI.AX,GBI
asx,GBM.AX,GBM
asx,GBP.AX,GBP
asx,GBR.AX,GBR
asx,GBT.AX,GBT
asx,GBZ.AX,GBZ
asx,GC1.AX,GC1
asx,GCI.AX,GCI
asx,GCM.AX,GCM
asx,GCR.AX,GCR
asx,GCS.AX,GCS
asx,GCY.AX,GCY
asx,GDF.AX,GDF
asx,GDG.AX,GDG
asx,GDI.AX,GDI
asx,GDX.AX,GDX
asx,GEAR.AX,GEAR
asx,GED.AX,GED
asx,GEM.AX,GEM
asx,GES.AX,GES
asx,GEV.AX,GEV
asx,GFI.AX,GFI
asx,GFL.AX,GFL
asx,GFY.AX,GFY
asx,GGE.AX,GGE
asx,GGG.AX,GGG
asx,GGL.AX,GGL
asx,GGUS.AX,GGUS
asx,GGX.AX,GGX
asx,GID.AX,GID
asx,GLA.AX,GLA
asx,GLB.AX,GLB
asx,GLE.AX,GLE
asx,GLH.AX,GLH
asx,GLIN.AX,GLIN
asx,GLL.AX,GLL
asx,GMA.AX,GMA
asx,GMC.AX,GMC
asx,GMD.AX,GMD
asx,GME.AX,GME
asx,GMG.AX,GMG
asx,GML.AX,GML
asx,GMN.AX,GMN
asx,GMR.AX,GMR
asx,GMV.AX,GMV
asx,GMY.AX,GMY
asx,GNC.AX,GNC
asx,GNE.AX,GNE
asx,GNG.AX,GNG
asx,GNX.AX,GNX
asx,GO2.AX,GO2
asx,GOLD.AX,GOLD
asx,GOO.AX,GOO
asx,GOR.AX,GOR
asx,GOVT.AX,GOVT
asx,GOW.AX,GOW
asx,GOZ.AX,GOZ
asx,GPP.AX,GPP
asx,GPR.AX,GPR
asx,GPS.AX,GPS
asx,GPT.AX,GPT
asx,GPX.AX,GPX
asx,GRB.AX,GRB
asx,GROW.AX,GROW
asx,GRR.AX,GRR
asx,GRV.AX,GRV
asx,GSC.AX,GSC
asx,GSL.AX,GSL
