#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
SAPJ.J,16-JUN-2018,,,Equities,SAPPI ORD,N/P,N/P,6241867,ZAE000006284,,JNB,ZAc,1,Sappi Ltd,,17904,Sappi,ZAF,,860275,8671089,,860275,,,,,,,,,,113543,SAPP,,SAPJ.J,,,,92,,8671089,XJSE,XJSE,ORD,Y,SAP,Sappi Ord Shs,1121,MIFID-E,ESVUFR,Y,SAPJ.F,FRAB,Medium Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SARJ.J,16-JUN-2018,,,Equities,SAFARI INVESTMENTS RSA LTD ORD,N/P,N/P,,ZAE000188280,,JNB,ZAc,1,Safari Investments (RSA) Ltd,,114247197,Safari,ZAF,,,,,,,,,,,,,,,125742728,,,SARJ.J,,,,92,,,XJSE,XJSE,ORD,Y,SAR,Safari Investments RSA Ltd Ord Shs,1668,MIFID-E,CBMJXS,Y,,,Top Companies,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
SBACIJ.J,16-JUN-2018,,,Equities,SBA COMMODITY INDEX ETN,N/P,N/P,,ZAE000159398,,JNB,ZAc,1,SBA Commodity Index ETN,,110482930,SBA Commodity,ZAF,,,,,,,,,,,,,,,115461343,,,SBACIJ.J,,,,92,,,XJSE,XJSE,PRF,Y,SBACI,SBA Commodity Index ETN,,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBACOPJ.J,16-JUN-2018,,,Equities,SB COPPER ETN,N/P,N/P,,ZAE000158523,,JNB,ZAc,1,SB Copper ETN,,110263256,SB Copper ETN,ZAF,,,,,,,,,,,,,,,115105838,,,SBACOPJ.J,,,,92,,,XJSE,XJSE,PRF,Y,SBACOP,SB Copper ETN,,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBACRNJ.J,16-JUN-2018,,,Equities,SB CORN ETN,N/P,N/P,,ZAE000158515,,JNB,ZAc,1,SB Corn ETN,,110263259,SB Corn ETN,ZAF,,,,,,,,,,,,,,,115105638,,,SBACRNJ.J,,,,92,,,XJSE,XJSE,PRF,Y,SBACRN,SB Corn ETN,,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBAEIJ.J,16-JUN-2018,,,Equities,SB AFRICA EQUITY INDEX ETN,N/P,N/P,,ZAE000156568,,JNB,ZAc,1,Standard Bank of South Africa Ltd,,45753,Standard Bk SA,ZAF,,,,,,,,,,,,,,,114487476,SBSA,,SBAEIJ.J,,,,92,,,XJSE,XJSE,PRF,Y,SBAEI,Sb Africa Equity Index ETN,1615,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBAG1J.J,16-JUN-2018,,,Equities,GOLD COMMODITY LINKER ETN,N/P,N/P,,ZAE000149308,,JNB,ZAc,1,Gold Commodity Linker,,107788646,Gold Commodity,USA,,,,,,,,,,,,,,,112329195,,,SBAG1J.J,,,,92,,,XJSE,XJSE,PRF,Y,SBAG1,Gold Commodity Linker ETN,1691,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBAOILJ.J,16-JUN-2018,,,Equities,SB WTI OIL ETN,N/P,N/P,,ZAE000158531,,JNB,ZAc,1,SB Wti Oil Etn,,110263233,SB Wti Oil Etn,ZAF,,,,,,,,,,,,,,,115105640,,,SBAOILJ.J,,,,92,,,XJSE,XJSE,PRF,Y,SBAOIL,SB Wti Oil ETN,,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBAPD1J.J,16-JUN-2018,,,Equities,PALADIUM COMMODITY LINKER ETN,N/P,N/P,,ZAE000149332,,JNB,ZAc,1,Paladium Commodity Linker,,107788648,Paladium,SAU,,,,,,,,,,,,,,,112329172,,,SBAPD1J.J,,,,92,,,XJSE,XJSE,PRF,Y,SBAPD1,Paladium Commodity Linker ETN,1691,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
SBAPL1J.J,16-JUN-2018,,,Equities,PLATINUM COMMODITY LINKER ETN,N/P,N/P,,ZAE000149324,,JNB,ZAc,1,Platinum Commodity Linker,,107788645,Platinum,RWA,,,,,,,,,,,,,,,112329168,,,SBAPL1J.J,,,,92,,,XJSE,XJSE,PRF,Y,SBAPL1,Platinum Commodity Linker ETN,1691,,EYMMMM,Y,,,JSE Exchange Traded,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ETN
