mkt,#RIC,Directory Company Name
asx,ANG.AX,Austin Engineering Ltd
asx,ANL.AX,Amani Gold Ltd
asx,ANN.AX,Ansell Ltd
asx,ANO.AX,Advance Nanotek Ltd
asx,ANP.AX,Antisense Therapeutics Ltd
asx,ANPN.AX,Antisense Therapeutics Ltd
asx,ANR.AX,Anatara Lifesciences Ltd
asx,ANS.AX,Austsino Resources Group Ltd
asx,ANW.AX,Aus Tin Mining Ltd
asx,ANZ.AX,Australia and New Zealand Banking Group Ltd
asx,AO1.AX,Assetowl Ltd
asx,AOA.AX,Ausmon Resources Ltd
asx,AOD.AX,Aurora Dividend Income Trust
asx,AOF.AX,Australian Unity Office Fund
asx,AOG.AX,Aveo Group
asx,AOH.AX,Altona Mining Ltd
asx,AOK.AX,AusTex Oil Ltd
asx,AON.AX,Apollo Minerals Ltd
asx,AOP.AX,Apollo Consolidated Ltd
asx,AOU.AX,Auroch Minerals Ltd
asx,AOW.AX,American Patriot Oil & Gas Ltd
asx,APA.AX,APA Group
asx,APC.AX,Australian Potash Ltd
asx,APD.AX,APN Property Group Ltd
asx,APE.AX,AP Eagers Ltd
asx,APG.AX,Austpac Resources NL
asx,API.AX,Australian Pharmaceutical Industries Ltd
asx,APL.AX,Antipodes Global Investment Company Ltd
asx,APO.AX,APN Outdoor Group Ltd
asx,APT.AX,Afterpay Touch Group Ltd
asx,APW.AX,Aims Property Securities Fund
asx,APX.AX,Appen Ltd
asx,APZ.AX,Aspen Group Ltd
asx,AQC.AX,Australian Pacific Coal Ltd
asx,AQD.AX,Ausquest Ltd
asx,AQF.AX,Australian Governance Masters Index Fund Ltd
asx,AQG.AX,Alacer Gold Corp
asx,AQI.AX,Alicanto Minerals Ltd
asx,AQS.AX,Aquis Entertainment Ltd
asx,AQX.AX,Alice Queen Ltd
asx,AQZ.AX,Alliance Aviation Services Ltd
asx,ARA.AX,Ariadne Australia Ltd
asx,ARB.AX,ARB Corp Ltd
asx,ARC.AX,Australian Rural Capital Ltd
asx,ARD.AX,Argent Minerals Ltd
asx,ARE.AX,Argonaut Resources N L
asx,ARF.AX,Arena REIT No 1
asx,ARG.AX,Argo Investments Ltd
asx,ARK.AX,Ausroc Metals Ltd
asx,ARL.AX,Ardea Resources Ltd
asx,ARM.AX,Aurora Minerals Ltd
asx,ARO.AX,Astro Resources NL
asx,ARQ.AX,ARQ Group Ltd
asx,ARS.AX,Alt Resources Ltd
asx,ARU.AX,Arafura Resources Ltd
asx,ARV.AX,Artemis Resources Ltd
asx,ARX.AX,Arc Exploration Ltd
asx,AS1.AX,Angel Seafood Holdings Ltd
asx,ASB.AX,Austal Ltd
asx,ASG.AX,Autosports Group Ltd
asx,ASH.AX,Ashley Services Group Ltd
asx,ASL.AX,Ausdrill Ltd
asx,ASN.AX,Anson Resources Ltd
asx,ASP.AX,Aspermont Ltd
asx,AST.AX,AusNet Services Ltd
asx,ASW.AX,Advanced Share Registry Ltd
asx,ASX.AX,ASX Ltd
asx,ATC.AX,Altech Chemicals Ltd
asx,ATL.AX,Apollo Tourism & Leisure Ltd
asx,ATM.AX,Aneka Tambang (Persero) Tbk Perusahaan Perseroan PT
asx,ATP.AX,Atlas Pearls Ltd
asx,ATR.AX,Astron Ltd
asx,ATS.AX,Australis Oil & Gas Ltd
asx,ATT.AX,Ante Real Estate Trust
asx,ATU.AX,Atrum Coal Ltd
asx,AU1.AX,Agency Group Australia Ltd
asx,AU8.AX,Aumake International Ltd
asx,AUB.AX,AUB Group Ltd
asx,AUC.AX,Ausgold Ltd
asx,AUDS.AX,Betashares Strong Australian Dollar (Hedge)
asx,AUF.AX,Asian Masters Fund Ltd
asx,AUH.AX,Austchina Holdings Ltd
asx,AUI.AX,Australian United Investment Company Ltd
asx,AUL.AX,Austar Gold Ltd
asx,AUMF.AX,IShares Edge MSCI Australia Multifactor ETF
asx,AUP.AX,Aurora Property Buy-Write Income Trust
asx,AUQ.AX,Alara Resources Ltd
asx,AUR.AX,Auris Minerals Ltd
asx,AUST.AX,Betashares Managed Risk Australian Share
asx,AUZ.AX,Australian Mines Ltd
asx,AVA.AX,Ava Risk Group Ltd
asx,AVB.AX,Avanco Resources Ltd
asx,AVC.AX,Auctus Alternative Investments Ltd
asx,AVD.AX,Antilles Oil and Gas NL
asx,AVG.AX,Australian Vintage Ltd
asx,AVH.AX,Avita Medical Ltd
asx,AVJ.AX,Avjennings Ltd
asx,AVL.AX,Australian Vanadium Ltd
asx,AVN.AX,Aventus Retail Property Fund
asx,AVQ.AX,Axiom Mining Ltd
asx,AVW.AX,Avira Resources Ltd
asx,AVZ.AX,AVZ Minerals Ltd
asx,AWC.AX,Alumina Ltd
asx,AWE.AX,AWE Ltd
asx,AWN.AX,Arowana International Ltd
asx,AWV.AX,Anova Metals Ltd
asx,AWY.AX,Australian Whisky Holdings Ltd
asx,AX1.AX,Accent Group Ltd
asx,AX8.AX,Accelerate Resources Ltd
asx,AXE.AX,Archer Exploration Ltd
asx,AXI.AX,Axiom Properties Ltd
asx,AXL.AX,Axsesstoday Ltd
asx,AXP.AX,AirXpanders Inc
asx,AXT.AX,Argo Exploration Ltd
asx,AYF.AX,Australian Enhanced Income Fund
asx,AYI.AX,A1 Investments & Resources Ltd
asx,AYJ.AX,Australian Masters Yield Fund No 3 Ltd
asx,AYK.AX,Australian Masters Yield Fund No 4 Ltd
asx,AYM.AX,Australia United Mining Ltd
asx,AYR.AX,Alloy Resources Ltd
asx,AYS.AX,Amaysim Australia Ltd
asx,AYZ.AX,Australian Masters Yield Fund No 5 Ltd
asx,AZI.AX,Alta Zinc Ltd
asx,AZJ.AX,Aurizon Holdings Ltd
asx,AZM.AX,Azumah Resources Ltd
asx,AZS.AX,Azure Minerals Ltd
asx,AZV.AX,Azure Healthcare Ltd
asx,AZY.AX,Antipa Minerals Ltd
asx,BAF.AX,Blue Sky Alternatives Access Fund Ltd
asx,BAH.AX,Bojun Agriculture Holdings Ltd
asx,BAL.AX,Bellamy s Australia Ltd
asx,BAP.AX,Bapcor Ltd
asx,BAR.AX,Barra Resources Ltd
asx,BAS.AX,Bass Oil Ltd
asx,BAT.AX,Battery Minerals Ltd
asx,BAU.AX,Bauxite Resources Ltd
asx,BAUE.AX,Bauxite Resources Ltd
asx,BBG.AX,Billabong International Ltd
asx,BBL.AX,Brisbane Broncos Ltd
asx,BBN.AX,Baby Bunting Group Ltd
asx,BBOZ.AX,BetaShares Australian Equities Strong Bear Hedge
asx,BBUS.AX,BetaShares US Equities Strong Bear Hdg-Ccy Hedged
asx,BBX.AX,BBX Minerals Ltd
asx,BC8.AX,Black Cat Syndicate Ltd
asx,BCB.AX,Bowen Coking Coal Ltd
asx,BCI.AX,BCI Minerals Ltd
