#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
1ODPV3.SA,16-JUN-2018,,,Equities,ODONTOPREV ORD,N/P,N/P,,BRODPVACNOR4,,SAO,BRL,1,Odontoprev SA,,101821723,OdontoPrev,BRA,,,,,A0LFEZ,,,,ODPV3,,,,,,103139829,ODONPR,,ODPV3.SA,,,,5091,,,,,ORD,,ODPV3,Odontoprev Ord Shs,1721,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1ODPV3F.SA,16-JUN-2018,,,Equities,ODONTOPREV ORD,N/P,N/P,,BRODPVACNOR4,,SAO,BRL,1,Odontoprev SA,,101821723,OdontoPrev,BRA,,,,,A0LFEZ,,,,ODPV3,,,,,,103139829,ODONPR,,ODPV3.SA,,,,5091,,,,,ORD,,1ODPV3F,Odontoprev Ord Shs,1721,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OFSA3.SA,16-JUN-2018,,,Equities,OURO FINO SAUDE ANIMAL PARTICIP ORD,N/P,N/P,,BROFSAACNOR7,,SAO,BRL,1,Ouro Fino Saude Animal Participacoes SA,,114453611,Ouro Fino Animal,BRA,,,,,,,,,OFSA3,,,,,,127773381,,,OFSA3.SA,,,,5091,,,,,ORD,,OFSA3,Ouro Fino Saude Animal Participacoes Ord Shs,1733,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OFSA3F.SA,16-JUN-2018,,,Equities,OURO FINO SAUDE ANIMAL PARTICIP ORD,N/P,N/P,,BROFSAACNOR7,,SAO,BRL,1,Ouro Fino Saude Animal Participacoes SA,,114453611,Ouro Fino Animal,BRA,,,,,,,,,OFSA3,,,,,,127773381,,,OFSA3.SA,,,,5091,,,,,ORD,,OFSA3F,Ouro Fino Saude Animal Participacoes Ord Shs,1733,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OGXP3.SA,16-JUN-2018,,,Equities,OGX PETROLEO GAS PARTICIPACOES ORD,N/P,N/P,,BROGXPACNOR3,,SAO,BRL,1,Oleo e Gas Participacoes SA,,101915327,Oleo e Gas Part,BRA,,,,,A0Q5FA,,,,OGXP3,,,,,,103053725,SENUMB,,OGXP3.SA,,,,5091,,,,,ORD,,OGXP3,OGX Petroleo E Gas Participacoes Ord Shs,1004,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OGXP3F.SA,16-JUN-2018,,,Equities,OGX PETROLEO GAS PARTICIPACOES ORD,N/P,N/P,,BROGXPACNOR3,,SAO,BRL,1,Oleo e Gas Participacoes SA,,101915327,Oleo e Gas Part,BRA,,,,,A0Q5FA,,,,OGXP3,,,,,,103053725,SENUMB,,OGXP3.SA,,,,5091,,,,,ORD,,1OGXP3F,OGX Petroleo E Gas Participacoes Ord Shs,1004,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1OIBR1F.SA,15-JUN-2018,,,Equities,OI ORD RTS,N/P,N/P,,BROIBRD01OR6,,SAO,BRL,1,Oi SA em Recuperacao Judicial,,52120,Oi SA,BRA,,,,,,,,,,,,,,,159907545,TLPAR,,OIBR4.SA,,,,5091,,,,,RTS,,OIBR1F,Oi Ord Rights,1811,,rxxxxx,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,RTS
1OIBR1F.SA,16-JUN-2018,,,Equities,OI ORD RTS,N/P,N/P,,BROIBRD01OR6,,SAO,BRL,1,Oi SA em Recuperacao Judicial,,52120,Oi SA,BRA,,,,,,,,,,,,,,,159907545,TLPAR,,OIBR4.SA,,,,5091,,,,,RTS,,OIBR1F,Oi Ord Rights,1811,,RSSXXR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,RTS
1OIBR1F.SA,18-JUN-2018,,,Equities,OI ORD RTS,N/P,N/P,,BROIBRD01OR6,,SAO,BRL,1,Oi SA em Recuperacao Judicial,,52120,Oi SA,BRA,,,,,,,,,,,,,,,159907545,TLPAR,,OIBR4.SA,,,,5091,,,,,RTS,,OIBR1F,Oi Ord Rights,1811,,RSSXXR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,RTS
1OIBR1F.SA,19-JUN-2018,,,Equities,OI ORD RTS,N/P,N/P,,BROIBRD01OR6,,SAO,BRL,1,Oi SA em Recuperacao Judicial,,52120,Oi SA,BRA,,,,,,,,,,,,,,,159907545,TLPAR,,OIBR4.SA,,,,5091,,,,,RTS,,OIBR1F,Oi Ord Rights,1811,,RSSXXR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,RTS
