#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
GLOBbi.SI,16-JUN-2018,,,Equities,GLOBAL INVACOM GROUP ORD,N/P,N/P,,SG2E91982768,,SES,SGD,1,Global Invacom Group Ltd,,100042106,Global Invacom,SGP,,,,,A1J4R2,,,,,,,,,QS9-B,100159356,RADELC,,GLOB.SI,,,,4082,,,,,ORD,,QS9,Global Invacom Group Ord Shs,1750,MIFID-E,ESVTFR,,GINV.L,AIMX,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLOBol.SI,16-JUN-2018,,,Equities,GLOBAL INVACOM GROUP ORD,N/P,N/P,,SG2E91982768,,SES,SGD,1,Global Invacom Group Ltd,,100042106,Global Invacom,SGP,,,,,A1J4R2,,,,,,,,,QS9-O,100159356,RADELC,,GLOB.SI,,,,4082,,,,,ORD,,QS9,Global Invacom Group Ord Shs,1750,MIFID-E,ESVTFR,,GINV.L,AIMX,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLOL.SI,16-JUN-2018,,,Equities,GLOBAL DRAGON ORD,N/P,N/P,,SG1H06873795,,SES,SGD,1,Global Dragon Ltd,,138367,Global Dragon,SGP,,,,,A0MW7Y,,,,,,,,,586,6741277,TMCSNG,,GLOL.SI,,,,3051,,,XSCA,XSCA,ORD,Y,586,Global Dragon Ord Shs,1224,,ESVUFR,Y,,,Catalist,XSCA,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GLOL.SI,20-JUN-2018,,,Equities,GLOBAL DRAGON ORD,N/P,N/P,,SG1H06873795,,SES,SGD,1,Global Dragon Ltd,,138367,Global Dragon,SGP,,,,,A0MW7Y,,,,,,,,,586,6741277,TMCSNG,,GLOL.SI,,,,3051,,,XSCA,XSCA,ORD,Y,586,Global Dragon Ord Shs,1224,,ESVUFR,Y,,,Catalist,XSCA,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GLOLbi.SI,16-JUN-2018,,,Equities,GLOBAL DRAGON ORD,N/P,N/P,,SG1H06873795,,SES,SGD,1,Global Dragon Ltd,,138367,Global Dragon,SGP,,,,,A0MW7Y,,,,,,,,,586-B,6741277,TMCSNG,,GLOL.SI,,,,4082,,,,,ORD,,586,Global Dragon Ord Shs,1224,,ESVUFR,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLOLbi.SI,20-JUN-2018,,,Equities,GLOBAL DRAGON ORD,N/P,N/P,,SG1H06873795,,SES,SGD,1,Global Dragon Ltd,,138367,Global Dragon,SGP,,,,,A0MW7Y,,,,,,,,,586-B,6741277,TMCSNG,,GLOL.SI,,,,4082,,,,,ORD,,586,Global Dragon Ord Shs,1224,,ESVUFR,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLOLol.SI,16-JUN-2018,,,Equities,GLOBAL DRAGON ORD,N/P,N/P,,SG1H06873795,,SES,SGD,1,Global Dragon Ltd,,138367,Global Dragon,SGP,,,,,A0MW7Y,,,,,,,,,586-O,6741277,TMCSNG,,GLOL.SI,,,,4082,,,,,ORD,,586,Global Dragon Ord Shs,1224,,ESVUFR,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLOLol.SI,20-JUN-2018,,,Equities,GLOBAL DRAGON ORD,N/P,N/P,,SG1H06873795,,SES,SGD,1,Global Dragon Ltd,,138367,Global Dragon,SGP,,,,,A0MW7Y,,,,,,,,,586-O,6741277,TMCSNG,,GLOL.SI,,,,4082,,,,,ORD,,586,Global Dragon Ord Shs,1224,,ESVUFR,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
GLVT.SI,14-JUN-2018,,,Equities,GALLANT VENTURE ORD,N/P,N/P,,SG1T37930313,,SES,SGD,1,Gallant Venture Ltd,,101780825,Gallant Venture,SGP,,,,,A0JMP1,,,,,,,,,5IG,102754624,GALVTR,,GLVT.SI,,,,3051,,,XSES,XSES,ORD,Y,5IG,Gallant Venture Ord Shs,1298,MIFID-E,ESXXXX,Y,GLVT.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
GLVT.SI,16-JUN-2018,,,Equities,GALLANT VENTURE ORD,N/P,N/P,,SG1T37930313,,SES,SGD,1,Gallant Venture Ltd,,101780825,Gallant Venture,SGP,,,,,A0JMP1,,,,,,,,,5IG,102754624,GALVTR,,GLVT.SI,,,,3051,,,XSES,XSES,ORD,Y,5IG,Gallant Venture Ord Shs,1298,MIFID-E,ESXXXX,Y,GLVT.SG,STUB,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
